2026-08-27 01:12:44 [INFO]: Loading Overrides...
2026-08-27 01:12:44 [INFO]: Loading World Types...
2026-08-28 03:42:23 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-28 03:45:06 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-28 03:45:26 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-28 03:45:32 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-28 03:45:34 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-28 03:45:48 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-28 04:03:11 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-28 07:18:14 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-28 07:31:14 [INFO]: yguy executed: /rtp world
2026-08-28 07:31:18 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-28 07:52:51 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-28 07:56:12 [INFO]: CONSOLE executed: /rtp player yguy WORLD_nether
2026-08-28 09:19:44 [INFO]: senfifai executed: /betterrtp world WORLD_nether
2026-08-28 09:47:16 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 09:50:27 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 09:50:32 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 11:07:31 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 11:13:44 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 11:54:27 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-28 11:59:49 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 12:09:02 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 12:26:52 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 12:52:12 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-28 12:55:37 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-28 13:07:45 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-28 13:12:23 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-28 14:28:08 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 14:30:38 [INFO]: popkits executed: /betterrtp world WORLD
2026-08-28 14:54:30 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-28 14:54:53 [INFO]: CONSOLE executed: /rtp player yguy WORLD_nether
2026-08-28 14:57:21 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-28 15:23:10 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-28 15:32:15 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-28 15:40:08 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-28 15:45:44 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-28 16:25:22 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-28 16:26:35 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-28 16:28:18 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-28 16:28:22 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-28 16:28:26 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-28 16:28:29 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-28 17:11:54 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-28 17:17:14 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-28 18:07:35 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 18:52:52 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-28 19:04:17 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-28 19:36:07 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-28 19:43:25 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-28 19:51:32 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-28 19:56:51 [INFO]: yguy_1 executed: /betterrtp world WORLD
2026-08-28 19:59:24 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-28 21:15:08 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-28 21:43:54 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-28 22:06:58 [INFO]: ShentoSyney_VN executed: /betterrtp world WORLD
2026-08-28 22:07:00 [INFO]: quocbaobui executed: /betterrtp world WORLD
2026-08-28 22:07:18 [INFO]: quocbaobui executed: /betterrtp world WORLD
2026-08-28 23:03:00 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-28 23:06:43 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-28 23:21:22 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-29 03:57:42 [INFO]: ShentoSyney_VN executed: /rtp world
2026-08-29 03:57:55 [INFO]: ShentoSyney_VN executed: /betterrtp world WORLD
2026-08-29 08:29:15 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-29 08:30:13 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-29 09:32:52 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-29 09:40:29 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-29 09:42:57 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-29 09:48:08 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-29 09:53:48 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-29 10:43:30 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-29 11:02:23 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-29 12:46:58 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD_nether
2026-08-29 12:59:35 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-29 13:10:20 [INFO]: CONSOLE executed: /rtp player yguy WORLD_nether
2026-08-29 13:21:57 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-29 13:24:38 [INFO]: CONSOLE executed: /rtp player yguy WORLD_nether
2026-08-29 13:25:12 [INFO]: CONSOLE executed: /rtp player yguy WORLD_nether
2026-08-29 13:31:00 [INFO]: CONSOLE executed: /rtp player yguy WORLD_nether
2026-08-29 13:32:43 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD_nether
2026-08-29 13:48:53 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-29 13:51:17 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-29 13:52:24 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-29 14:15:45 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-29 14:17:05 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-29 14:21:55 [INFO]: tuanduong000 executed: /betterrtp world WORLD
2026-08-29 14:25:48 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-29 19:05:20 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-29 19:21:37 [INFO]: suclo executed: /betterrtp world WORLD
2026-08-29 19:29:41 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-29 19:33:56 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-29 19:35:58 [INFO]: TanThuyNgan executed: /betterrtp world WORLD
2026-08-29 19:36:25 [INFO]: TanThuyNgan executed: /betterrtp world WORLD
2026-08-29 20:38:34 [INFO]: Rtex_MC executed: /betterrtp world WORLD
2026-08-29 20:45:35 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-29 20:47:32 [INFO]: Rtex_MC executed: /betterrtp world WORLD_nether
2026-08-29 20:54:25 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD_nether
2026-08-29 20:56:06 [INFO]: Rtex_MC executed: /betterrtp world WORLD
2026-08-29 20:57:36 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-29 21:17:10 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-29 21:35:59 [INFO]: Rtex_MC executed: /betterrtp world WORLD
2026-08-29 21:36:17 [INFO]: Rtex_MC executed: /betterrtp world WORLD
2026-08-29 21:36:24 [INFO]: Rtex_MC executed: /betterrtp world WORLD
2026-08-29 21:47:33 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD_nether
2026-08-29 22:16:09 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-29 22:19:39 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-29 22:19:45 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-29 22:37:25 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-29 22:48:13 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-29 22:48:30 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-29 22:48:56 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-30 10:19:07 [INFO]: senfifai executed: /betterrtp world WORLD_nether
2026-08-30 10:29:26 [INFO]: senfifai executed: /betterrtp world WORLD_nether
2026-08-30 14:50:51 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-30 16:56:06 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-30 18:16:29 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD_nether
2026-08-30 18:27:48 [INFO]: CONSOLE executed: /rtp player HappyBoiz2009 WORLD_nether
2026-08-30 18:38:42 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD_nether
2026-08-30 19:07:04 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-30 19:26:07 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-30 21:11:04 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-30 21:11:15 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-30 22:24:23 [INFO]: HappyBoiz2009 executed: /betterrtp world WORLD
2026-08-30 22:27:47 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-30 22:29:01 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-30 22:30:45 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-30 22:31:53 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-30 22:32:57 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-30 22:40:24 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-30 22:47:34 [INFO]: Newbie123 executed: /betterrtp world WORLD
2026-08-30 22:48:29 [INFO]: Newbie123 executed: /betterrtp world WORLD
2026-08-31 10:12:15 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-31 10:17:31 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-31 10:19:09 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-31 10:21:37 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-31 10:22:26 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-31 10:23:00 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-31 10:23:09 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
2026-08-31 10:23:20 [INFO]: MinhAnh_112 executed: /betterrtp world WORLD
